ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CMCC-ESM2,EC-Earth3-CC,FGOALS-g3,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1,OBS1
294.2780928,298.1951793,296.6495513,295.6537094,295.6360114,294.6385512,294.8488438,294.568239,295.2190907,295.0982878,295.5465564,294.9856114,296.5980219,296.7461575,296.5310726,295.2574385,293.7061509,296.4517224,296.0258675,296.3414658,294.9644484
294.3049452,298.1545895,296.6705264,295.7062235,295.6184258,294.6538437,294.8397893,294.578331,295.2257261,295.0953766,295.579647,295.0068459,296.6215255,296.7569289,296.5553898,295.2938055,293.7296787,296.4826173,296.0554776,296.359273,294.9886791
294.0164334,297.92453,296.4357092,295.196553,295.6708357,294.4617063,294.4410466,294.1610363,295.1491626,295.1029846,295.2080907,294.7795241,296.328726,296.2061434,296.3172894,294.9429045,293.5561601,296.1658193,295.7936619,296.1566472,294.806975
294.0432096,297.9913427,296.4572894,295.2518923,295.7415447,294.4774777,294.514723,294.2235701,295.1548854,295.0992617,295.24265,294.800436,296.35338,296.3017396,296.3385414,294.9782197,293.5654168,296.1975584,295.8227513,296.1748127,294.8277847
294.0699858,298.0581554,296.4788697,295.3072316,295.7883632,294.4932491,294.5883994,294.286104,295.1606081,295.0955389,295.2772092,294.8213478,296.3780341,296.3973358,296.3597935,295.0135349,293.5746734,296.2292975,295.8518407,296.1929783,294.8485944
294.096762,298.1249681,296.5004499,295.362571,295.7635102,294.5090205,294.6620758,294.3486378,295.1663308,295.091816,295.3117684,294.8422597,296.4026881,296.492932,296.3810455,295.0488501,293.5839301,296.2610367,295.8809301,296.2111438,294.869404
294.1235381,298.1917808,296.5220301,295.4179103,295.7386573,294.5247919,294.7357522,294.4111717,295.1720535,295.0880932,295.3463276,294.8631715,296.4273421,296.5885282,296.4022976,295.0841653,293.5931867,296.2927758,295.9100195,296.2293093,294.8902137
294.1503143,298.2585935,296.5436104,295.4732496,295.7138044,294.5405633,294.8094285,294.4737055,295.1777762,295.0843703,295.3808868,294.8840833,296.4519961,296.6841244,296.4235496,295.1194805,293.6024434,296.3245149,295.9391088,296.2474749,294.9110234
294.1770905,298.2713129,296.5651906,295.5285889,295.6889514,294.5563347,294.8416412,294.5102404,295.183499,295.0806475,295.4154461,294.9049952,296.4766501,296.7357723,296.4465323,295.1547957,293.6190429,296.3562541,295.9681982,296.2656404,294.9318331
294.2038667,298.2299391,296.5867708,295.5839282,295.6640985,294.5721061,294.8323901,294.5207763,295.1892217,295.0769247,295.4500053,294.925907,296.5013042,296.7434718,296.4712458,295.1901109,293.6429853,296.3879932,295.9972876,296.2838059,294.9526428
294.2306428,298.1885653,296.6083511,295.6392676,295.6392455,294.5878775,294.823139,294.5313122,295.1949444,295.0732018,295.4845645,294.9468189,296.5259582,296.7511713,296.4959593,295.2254261,293.6669277,296.4197323,296.026377,296.3019715,294.9734525
294.257419,298.1471914,296.6299313,295.6946069,295.6143926,294.6036488,294.8138878,294.5418481,295.2006671,295.069479,295.5191237,294.9677307,296.5506122,296.7588708,296.5206727,295.2607413,293.6908701,296.4514715,296.0554664,296.320137,294.9942621
293.916193,297.7858532,296.3452967,295.0431797,295.550774,294.4103907,294.2441118,293.9742758,295.1226984,295.0934612,295.1179187,294.7021341,296.1958492,295.9881723,296.2307727,294.8353141,293.4877817,296.0619092,295.7412002,296.0772385,294.7868796
293.942893,297.8527189,296.3674821,295.1013443,295.6287626,294.42622,294.3210373,294.0399639,295.1275083,295.0889267,295.1532443,294.7227234,296.2216537,296.0890315,296.2530793,294.879888,293.498319,296.0944925,295.7697688,296.0957624,294.8187285
293.969593,297.9195846,296.3896675,295.1595089,295.7067511,294.4420493,294.3979629,294.1056519,295.1323183,295.0843922,295.1885699,294.7433126,296.2474582,296.1898907,296.2753858,294.9193066,293.5088564,296.1270758,295.7983375,296.1142862,294.8433472
293.996293,297.9864503,296.4118529,295.2176735,295.7847397,294.4578786,294.4748885,294.1713399,295.1371283,295.0798576,295.2238956,294.7639018,296.2732627,296.2907499,296.2976924,294.95357,293.5193938,296.1596591,295.8269061,296.1328101,294.8607359
294.0229929,298.053316,296.4340383,295.2758381,295.8352011,294.4737078,294.551814,294.237028,295.1419383,295.0753231,295.2592212,294.784491,296.2990673,296.3916091,296.3199989,294.9878334,293.5299312,296.1922424,295.8554747,296.151334,294.8781245
294.0496929,298.1201817,296.4562237,295.3340027,295.8030808,294.4895371,294.6287396,294.302716,295.1467482,295.0707885,295.2945469,294.8050802,296.3248718,296.4924683,296.3423055,295.0220967,293.5404686,296.2248257,295.8840433,296.1698578,294.8955132
294.0763929,298.1870473,296.4784091,295.3921673,295.7709606,294.5053664,294.7056652,294.3684041,295.1515582,295.066254,295.3298725,294.8256694,296.3506763,296.5933275,296.364612,295.0563601,293.551006,296.2574091,295.912612,296.1883817,294.9129019
294.1030929,298.253913,296.5005946,295.4503319,295.7388404,294.5211957,294.7825907,294.4340921,295.1563682,295.0617194,295.3651981,294.8462587,296.3764809,296.6941867,296.3869185,295.0906235,293.5615434,296.2899924,295.9411806,296.2069056,294.9302905
294.1297929,298.2662669,296.52278,295.5084965,295.7067201,294.537025,294.8163296,294.472426,295.1611782,295.0571849,295.4005238,294.8668479,296.4022854,296.7469301,296.4106266,295.1248869,293.5789906,296.3225757,295.9697492,296.2254294,294.9476792
294.1564928,298.2241091,296.5449654,295.5666611,295.6745999,294.5528543,294.8068819,294.4834057,295.1659881,295.0526504,295.4358494,294.8874371,296.4280899,296.7515576,296.4357363,295.1591503,293.6033476,296.355159,295.9983179,296.2439533,294.9650679
294.1831928,298.1819512,296.5671508,295.6248257,295.6424796,294.5686836,294.7974341,294.4943855,295.1707981,295.0481158,295.4711751,294.9080263,296.4538944,296.7561852,296.460846,295.1934137,293.6277046,296.3877423,296.0268865,296.2624772,294.9824565
294.2098928,298.1397933,296.5893362,295.6829903,295.6103594,294.5845128,294.7879863,294.5053652,295.1756081,295.0435813,295.5065007,294.9286155,296.479699,296.7608128,296.4859557,295.2276771,293.6520616,296.4203256,296.0554551,296.281001,294.9998452
